,08/09/2024,,10/09/2024,,15/09/2024,,18/09/2024,,19/09/2024,,23/09/2024,,30/09/2024,,04/10/2024,,12/10/2024,,10/10/2024,,15/10/2024,,15/10/2024,,23/10/2024,,23/10/2024,,25/10/2024,,25/10/2024,,03/11/2024,,07/11/2024,,10/11/2024,,16/11/2024,,16/11/2024,,21/11/2024,,24/11/2024,,24/11/2024,,28/11/2024,,04/12/2024,,04/12/2024,,05/12/2024,,09/12/2024,,13/12/2024,,15/12/2024,,18/12/2024,,22/12/2024,,26/12/2024,,28/12/2024,,30/12/2024,,30/12/2024,,06/01/2025,,09/01/2025,,16/01/2025,,17/01/2025,,21/01/2025,,22/01/2025,,22/01/2025,,27/01/2025,,27/01/2025,,29/01/2025,,30/01/2025,,30/01/2025,,02/02/2025,,02/02/2025,,02/02/2025,,04/02/2025,,08/02/2025,,08/02/2025,,08/02/2025,,08/02/2025,,13/02/2025,,16/02/2025,,19/02/2025,,26/02/2025,,28/02/2025,,01/03/2025,,02/03/2025,,03/03/2025,,03/03/2025,,03/03/2025,,05/03/2025,,06/03/2025,,09/03/2025,,09/03/2025,,09/03/2025,,11/03/2025,,11/03/2025,,14/03/2025,,19/03/2025,,19/03/2025,,20/03/2025,,26/03/2025,,30/03/2025,,30/03/2025,,31/03/2025,,03/04/2025,,05/04/2025,,07/04/2025,,12/04/2025,,16/04/2025,,20/04/2025,,26/04/2025,,28/04/2025,,28/04/2025,,04/05/2025,,05/05/2025,,02/05/2025,,09/05/2025,,16/05/2025,,17/05/2025,,20/05/2025,,28/05/2025,,28/05/2025,,06/06/2025,,06/06/2025,,11/06/2025,,13/06/2025,,18/06/2025,,05/07/2025,,05/07/2025,,08/07/2025,,08/07/2025,,08/07/2025,,10/07/2025,,15/07/2025,,22/07/2025,,27/07/2025,,28/07/2025,,28/07/2025,,04/08/2025,,04/08/2025,,30/08/2025,,01/09/2025,,11/09/2025,,11/09/2025,,16/09/2025,,21/09/2025,,26/09/2025,,01/10/2025,,01/10/2025,,02/10/2025,,08/10/2025,,08/10/2025,,08/10/2025,,08/10/2025,
Mozzerella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.89,0.1Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Butter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.49,0.25Kg,,,,,,,,,,,,,2.59,0.225Kg,,,,,,,,,,,,,,,,,,,,,,,2.49,0.25Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.59,0.225Kg,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breakfast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bread,0.25,0.100Kg,,,0.69,0.100Kg,,,,,,,0.99,0.100Kg,,,,,0.89,0.100Kg,1.09,0.100Kg,,,,,,,0.85,0.100Kg,,,1.09,0.100Kg,,,0.95,0.100Kg,,,,,,,0.79,0.100Kg,,,,,,,,,,,,,0.95,0.100Kg,,,,,,,,,,,,,,,,,,,1.09,0.100Kg,,,,,,,,,,,0.98,0.200Kg,,,,,,,,,,,,,0.98,0.200Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.79,0.100Kg,,,,,,,,,,,0.7,0.100Kg,,,,,,,0.79,0.1Kg,0.95,0.1Kg,,,,,0.85,0.1Kg,,,0.98,0.2Kg,0.85,0.1Kg,0.85,0.1Kg,,,0.79,0.1Kg,,,,,,,,,,,,,,,0.88,0.1Kg,,,,,,,1.09,0.1Kg,,,0.79,0.1Kg,,,,,1.12,0.1Kg,,,,,,,,,,,0.79,0.1Kg,0.8,0.1Kg,,,,,,,,,,,1.09,0.1Kg,,,,,,,,,,,,,,,,,,,,,,,,,,
Wheat mini Bun ,,,,,,,1.29,10pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.25,4pcs,1.28,12pcs,,,,,,,,,,,,,1.57,6pcs,,,,,,,,,,,1.28,6pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.29,6pcs,,,1.28,12pcs,,,,,,,,,,,,,,,,,,,,
Gingerbread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornflakes,,,,,,,1.55,0.500Kg,,,,,,,,,,,1.49,0.500Kg,,,,,,,,,,,,,1.49,0.500Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.48,0.500Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JLinks Beef Jerky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.45,0.025Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bifi Salami Sticks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.59,0.080Kg,2.59,0.080Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bifi Mini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.29,0.060Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Granola Protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75,0.5Kg,,,,,,,,,,,,,,
Whey Protien Vanilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.62,0.4Kg
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cereal Based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.95,1Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pandan Rice Thai Sticky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.09,1Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basmati Rice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.89,1Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.45,1Kg,,,,,,,,,,,,,,,,,,,2.45,1Kg,,,,,,,,,,,,,2.99,1Kg,2.45,1Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.45,1Kg,,,,,,,,,,,,,,,,,2.45,1Kg,,,,,,,,,,,,,,,2.45,1Kg,,,,,,,,,,,,,,,,,,,,,,,,
ParBoiled Rice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.49,1Kg,,,,,,,,,,,,,,,,,,,4.98,2Kg,,,,,,,,,,,,,,,2.49,1Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.98,2Kg,,,,,,,,,,,,,,,,,4.98,2Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dosa Idly Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,1Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.79,1Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annam Puttu Flour Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.68,1Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pita Bread,,,,,,,,,0.78,10 pcs,,,,,0.78,10 pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tortilla Wrap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.94,6pcs,,,0.94,8pcs,0.94,6pcs,,,,,,,,,0.94,6pcs,,,,,,,,,,,0.94,6pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.94,6pcs,,,,,1.88,12pcs,,,,,,,,,,,,,1.88,16pcs,3.76,32pcs,,,,,,,,,,,,,1.88,16pcs,1.88,16pcs,0.94,8pcs,,,,,,,,,,,,,,,,,,,,,1.79,6pcs,0.94,6pcs,,,1.88,12pcs,,,,,1.99,6pcs,,,,,,,,,,,0.94,8pcs,1.99,6pcs,1,6pcs,,,,,,,,,,,0.94,6pcs,,,1.88,12pcs,,,0.94,6pcs,0.94,6pcs,0.94,6pcs,1.99,6pcs,,,,,,,,,0.94,6pcs
Wortel Tortilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49,6pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
